name|race
Abyssal|Demons, Chaotic evil outsiders
Aklo|Derros, Inhuman or otherworldly monsters, Evil fey
Aquan|Aquatic creatures, Water-based creatures
Auran|Flying creatures, Air-based creatures
Boggard|Boggard
Celestial|Angels, Good outsiders
Common|Humans, Core races
Cyclops|Cyclops
Dark Folk|Caligni
Draconic|Dragons, Reptilian humanoids
Drow Sign Language|Drow Sign Language
Dwarven|Dwarves
Elven|Elves, Half-elves
Giant|Cyclopses, Ettins, Giants, Ogres, Trolls
Gnoll|Gnolls
Gnome|Gnomes
Goblin|Bugbears, Goblins, Hobgoblins
Grippli|Grippli
Halfling|Halflings
Ignan|Fire-based creatures
Infernal|Devils, Lawful evil outsiders
Kelish|Kelish
Orc|Orcs, Half-orcs
Protean|Protean
Sphinx|Sphinx
Sylvan|Centaurs, Fey creatures, Plant creatures, Unicorns
Tengu|Tengu
Terran|Earth-based creatures
Treant|Treant
Undercommon|Drow, Duergar, Morlocks, Svirfneblin
Vegepygmy|Vegepygmy
Vishkanya|Vishkanya
Wayang|Wayang